file,mode,size,test,psnr_watermarked,ssmi_watermarked,time_watermark,psnr_edited,time_authenticate,psnr_recovered,ssmi_recovered,time_recovered
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",75_LZ,44.35750225409823,0.9956853816242669,5.666981935501099,6.670212919894899,1.8313889503479004,21.820905292282077,0.6118041088261165,6.545044183731079
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",75_BZ,44.35750225409823,0.9956853816242669,5.666981935501099,6.631385749372853,1.5359811782836914,22.699779368803128,0.609619266619973,6.543048620223999
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",75_RZ,44.35750225409823,0.9956853816242669,5.666981935501099,6.736027726817527,1.4994993209838867,22.041644388120464,0.6045886016565013,6.2351953983306885
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",75_TZ,44.35750225409823,0.9956853816242669,5.666981935501099,7.165456410148172,1.4431638717651367,21.442332336698247,0.5852402811664417,6.25445294380188
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",75_CZ,44.35750225409823,0.9956853816242669,5.666981935501099,6.9634613259422515,1.5054051876068115,22.044032849182425,0.6060657602675997,6.345447301864624
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",75_OZ,44.35750225409823,0.9956853816242669,5.666981935501099,7.704219263197998,1.4542548656463623,20.931779411593787,0.5446506340967335,6.214894533157349
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",50_TZ,44.35750225409823,0.9956853816242669,5.666981935501099,8.93782312449685,1.5265538692474365,22.51771567311514,0.707921029021262,6.518863677978516
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",50_LZ,44.35750225409823,0.9956853816242669,5.666981935501099,8.726832294030917,1.392822504043579,23.306013805198106,0.7264746526963831,6.237943172454834
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",50_VCZ,44.35750225409823,0.9956853816242669,5.666981935501099,7.939292246913816,1.6096179485321045,24.233529340708326,0.7656222367541782,6.109813928604126
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",50_HCZ,44.35750225409823,0.9956853816242669,5.666981935501099,8.456026565750854,1.482480764389038,24.568304104530124,0.7440890740579752,6.197118282318115
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",50_LRZ,44.35750225409823,0.9956853816242669,5.666981935501099,9.751302380924312,1.5932509899139404,22.74423252206121,0.6835342962931671,6.405315399169922
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",50_ULDRZ,44.35750225409823,0.9956853816242669,5.666981935501099,9.104688659344834,1.5798044204711914,23.317305303475614,0.7204318156577033,6.162471294403076
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_CZ,44.35750225409823,0.9956853816242669,5.666981935501099,10.134321647855142,1.5119149684906006,29.916161998234916,0.9036301330144664,6.471162557601929
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_UL,44.35750225409823,0.9956853816242669,5.666981935501099,12.288162730653013,1.4527795314788818,25.317883273571304,0.8515872960210936,6.430202007293701
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_CRZ,44.35750225409823,0.9956853816242669,5.666981935501099,11.450745957259569,1.5298752784729004,27.848126254230078,0.866818007041824,6.075153589248657
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_CLZ,44.35750225409823,0.9956853816242669,5.666981935501099,11.479723853285895,1.3749091625213623,27.239684605672927,0.8732718319600079,6.136265993118286
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_CUZ,44.35750225409823,0.9956853816242669,5.666981935501099,11.228381406468282,1.80409574508667,27.286594816522545,0.8835349027091222,6.3559558391571045
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_DZ1,44.35750225409823,0.9956853816242669,5.666981935501099,11.754167426214494,1.4339673519134521,25.465024778876973,0.8417564528747429,6.012975215911865
./images/standard//mandril_color.tif,rgb,"(512, 512, 3)",25_DZ2,44.35750225409823,0.9956853816242669,5.666981935501099,13.062986489812342,1.3983261585235596,24.993259073787986,0.8343436315690661,6.1756908893585205
